order_item_id,order_id,quantity,product_id,unit_price,discount(%),shipping_cost
OI000081,O00042,1,P04016,12940.0,17.51,1597.84
OI000082,O00042,1,P02994,14410.0,30.38,2225.09
OI000083,O00043,1,P10234,1900.0,9.85,229.78
OI000084,O00043,2,P05164,4060.0,16.42,327.58
OI000085,O00044,2,P25758,7570.0,9.21,614.89
OI000086,O00044,1,P15830,6860.0,22.18,1043.53
OI000087,O00044,2,P12649,6340.0,9.3,644.77
OI000088,O00045,1,P14997,9670.0,10.36,990.15
OI000089,O00046,1,P09819,60.0,4.05,7.21
OI000090,O00046,3,P30281,2500.0,1.52,388.69
OI000091,O00046,2,P25645,530.0,14.24,26.55
OI000092,O00047,1,P29615,9700.0,14.72,1189.49
OI000093,O00048,1,P06489,1470.0,5.37,118.03
OI000094,O00048,1,P29997,5790.0,1.29,879.5
OI000095,O00048,1,P21582,5310.0,18.02,805.28
OI000096,O00048,2,P01099,5570.0,17.37,845.31
OI000097,O00049,1,P01400,14200.0,29.86,1464.87
OI000098,O00049,1,P06788,12220.0,33.03,1503.61
OI000099,O00050,1,P06338,2150.0,14.59,217.21
OI000100,O00050,1,P08786,3030.0,2.86,366.09
OI000101,O00050,1,P23321,1790.0,1.51,215.68
OI000102,O00050,1,P32329,420.0,16.17,21.03
OI000103,O00051,1,P20864,3430.0,12.7,173.0
OI000104,O00051,1,P18709,2290.0,6.86,115.2
OI000105,O00051,1,P04771,4570.0,5.45,692.79
OI000106,O00051,1,P31188,1620.0,1.61,162.99
OI000107,O00052,1,P09906,880.0,9.27,44.91
OI000108,O00052,1,P13879,3380.0,4.9,341.77
OI000109,O00053,1,P01276,13370.0,21.72,687.18
OI000110,O00054,1,P23196,10550.0,31.12,862.57
OI000111,O00054,1,P21362,13140.0,23.97,675.32
OI000112,O00055,1,P17036,13060.0,21.59,1340.5
OI000113,O00056,1,P16953,15320.0,26.79,1582.62
OI000114,O00057,1,P02312,1560.0,5.76,238.33
OI000115,O00057,1,P27749,4620.0,2.98,559.69
OI000116,O00058,2,P27334,8100.0,18.67,659.02
OI000117,O00059,3,P03931,4120.0,15.47,207.83
OI000118,O00059,2,P11782,1320.0,8.73,158.85
OI000119,O00059,1,P31625,2890.0,14.42,232.65
OI000120,O00060,3,P05349,3520.0,22.28,177.34
OI000121,O00060,1,P05426,1480.0,3.19,148.56
OI000122,O00060,2,P27536,5100.0,8.83,515.92
OI000123,O00061,2,P14065,3830.0,11.03,585.11
OI000124,O00061,1,P15305,2630.0,11.1,264.86
OI000125,O00061,1,P04947,650.0,1.89,52.15
OI000126,O00061,1,P05923,2570.0,18.98,206.78
OI000127,O00062,1,P22067,7970.0,15.79,1215.75
OI000128,O00062,1,P25247,6590.0,21.89,535.41
OI000129,O00063,2,P28021,2170.0,1.42,109.14
OI000130,O00063,1,P16460,4890.0,12.38,395.1
OI000131,O00063,1,P29958,2770.0,8.52,223.09
OI000132,O00063,1,P19235,4140.0,4.57,208.84
OI000133,O00064,1,P30589,4130.0,6.92,208.83
OI000134,O00065,3,P23055,1770.0,8.24,177.78
OI000135,O00065,1,P20791,5060.0,13.13,613.53
OI000136,O00066,1,P25838,13000.0,27.12,2001.67
OI000137,O00066,1,P28676,7020.0,36.59,356.4
OI000138,O00066,1,P03874,7880.0,16.15,1201.86
OI000139,O00067,1,P11591,9130.0,13.31,1397.25
OI000140,O00067,1,P04239,14080.0,12.87,2174.01
OI000141,O00068,1,P26076,135540.0,35.83,17843.57
OI000142,O00069,1,P01230,18060.0,16.83,2809.56
OI000143,O00070,2,P23469,5300.0,5.28,268.07
OI000144,O00070,2,P25381,3930.0,19.31,476.67
OI000145,O00070,1,P28464,3140.0,0.1,475.42
OI000146,O00071,2,P13363,12590.0,27.65,1296.37
OI000147,O00072,1,P11278,1780.0,1.91,214.48
OI000148,O00072,1,P28055,2490.0,16.15,200.23
OI000149,O00072,2,P09754,680.0,18.17,68.11
OI000150,O00072,1,P19321,660.0,6.67,99.33
OI000151,O00073,2,P18782,4290.0,8.83,442.33
OI000152,O00073,1,P32877,2930.0,11.18,442.43
OI000153,O00074,1,P02111,3960.0,8.57,599.77
OI000154,O00074,1,P06618,2050.0,5.68,167.61
OI000155,O00075,1,P17623,96530.0,37.29,9214.83
OI000156,O00076,1,P17296,5060.0,12.63,409.69
OI000157,O00076,1,P24444,1820.0,17.82,184.9
OI000158,O00076,1,P19328,380.0,9.86,45.67
OI000159,O00076,2,P21497,350.0,10.72,52.73
OI000160,O00076,1,P09761,2170.0,15.18,327.37
OI000161,O00077,1,P26032,8210.0,22.88,1266.95
OI000162,O00077,1,P06276,12560.0,8.58,1289.94
OI000163,O00077,2,P18625,12220.0,36.29,1502.53
OI000164,O00078,1,P02068,2210.0,1.15,111.3
OI000165,O00078,1,P14801,2220.0,2.51,268.49
OI000166,O00079,1,P06793,3020.0,19.41,243.29
OI000167,O00079,1,P09822,950.0,0.03,47.62
OI000168,O00079,1,P12753,2140.0,11.01,215.04
OI000169,O00080,1,P25603,2770.0,14.35,222.89
OI000170,O00080,1,P27706,5740.0,6.95,465.11
OI000171,O00080,1,P08405,4110.0,19.54,414.54
OI000172,O00081,1,P04943,5250.0,13.95,265.33
OI000173,O00081,1,P01463,1090.0,5.44,56.07
OI000174,O00081,1,P04525,230.0,13.28,23.06
OI000175,O00081,1,P30310,470.0,19.11,47.08
OI000176,O00082,2,P05544,10060.0,25.71,519.26
OI000177,O00082,1,P25559,6310.0,15.5,960.43
OI000178,O00083,1,P26780,73790.0,37.48,10167.79
OI000179,O00084,1,P13772,7490.0,9.84,1141.23
OI000180,O00085,2,P05405,3000.0,10.62,151.07
OI000181,O00086,1,P29362,9780.0,9.4,1200.9
OI000182,O00087,2,P16790,12420.0,7.62,642.76
OI000183,O00088,1,P19147,3470.0,14.93,525.7
OI000184,O00088,1,P04178,180.0,0.41,27.02
OI000185,O00088,1,P29528,3410.0,13.4,171.87
OI000186,O00088,1,P29009,2050.0,19.66,164.77
OI000187,O00088,1,P17496,3130.0,5.71,377.99
OI000188,O00089,1,P22333,6700.0,20.42,825.55
OI000189,O00090,1,P13940,14030.0,6.54,1732.36
OI000190,O00090,1,P17084,6950.0,12.26,1058.76
OI000191,O00090,1,P00424,11970.0,17.72,1226.13
OI000192,O00091,1,P06320,100750.0,36.1,6054.57
OI000193,O00092,1,P24130,500.0,17.62,75.1
OI000194,O00092,2,P28949,1170.0,2.35,117.34
OI000195,O00092,2,P12221,650.0,20.34,78.15
OI000196,O00093,1,P06863,14230.0,8.19,2197.6
OI000197,O00094,1,P23558,24510.0,23.84,3088.61
OI000198,O00095,2,P13631,12410.0,8.04,1018.33
OI000199,O00095,1,P19910,13970.0,11.29,1215.88
OI000200,O00096,3,P22471,2670.0,2.23,215.51
OI000201,O00096,1,P10983,3800.0,16.95,384.03
OI000202,O00097,1,P06080,1530.0,1.02,230.29
OI000203,O00097,1,P17022,1570.0,10.83,78.95
OI000204,O00098,1,P03762,14220.0,11.99,2198.46
OI000205,O00099,2,P29748,9270.0,10.53,755.79
OI000206,O00099,1,P32458,8900.0,6.59,908.78
OI000207,O00099,1,P32393,11510.0,20.82,1495.87
OI000208,O00100,2,P08181,740.0,10.48,89.16
OI000209,O00100,1,P05235,4290.0,4.22,649.28
OI000210,O00101,2,P25346,240.0,4.04,19.22
OI000211,O00101,1,P06780,3490.0,9.31,175.84
OI000212,O00101,1,P31064,2130.0,5.52,213.97
OI000213,O00101,2,P03964,4910.0,15.98,248.16
OI000214,O00102,1,P17600,9440.0,14.84,1443.68
OI000215,O00103,1,P29257,2640.0,10.85,401.89
OI000216,O00103,1,P25499,5240.0,3.68,794.79
OI000217,O00103,1,P16860,120.0,12.47,18.05
OI000218,O00103,1,P16001,700.0,5.7,56.29
OI000219,O00103,3,P17299,960.0,0.68,76.98
OI000220,O00104,1,P19894,83090.0,18.01,4846.93
OI000221,O00105,2,P32598,5210.0,2.64,790.04
OI000222,O00105,1,P26911,3300.0,5.89,498.51
OI000223,O00106,2,P26128,1500.0,3.97,120.41
OI000224,O00106,2,P20416,3630.0,8.21,549.11
OI000225,O00107,1,P32728,11360.0,9.36,940.44
OI000226,O00108,2,P20753,1720.0,13.62,172.76
OI000227,O00108,1,P12715,6050.0,8.65,492.37
OI000228,O00109,1,P31330,14130.0,12.82,1745.89
OI000229,O00110,2,P01409,7080.0,22.35,719.27
OI000230,O00110,1,P14856,8700.0,16.38,887.23
OI000231,O00111,1,P11830,3580.0,5.82,361.14
OI000232,O00111,2,P24323,4850.0,1.79,489.87
OI000233,O00111,1,P13045,1560.0,1.31,125.25
OI000234,O00111,1,P18396,530.0,9.34,63.69
OI000235,O00111,1,P23694,2830.0,9.45,227.86
OI000236,O00112,1,P25523,5690.0,2.91,289.9
OI000237,O00112,1,P28308,2300.0,6.19,277.38
OI000238,O00113,2,P29974,4670.0,5.74,235.91
OI000239,O00113,3,P06640,6080.0,14.07,307.88
OI000240,O00113,1,P17719,2420.0,21.96,194.89
OI000241,O00114,1,P00695,2270.0,14.73,182.5
OI000242,O00114,1,P12927,690.0,9.39,55.33
OI000243,O00114,2,P28848,1070.0,8.45,107.28
OI000244,O00115,2,P30051,680.0,16.76,81.74
OI000245,O00115,3,P30459,1370.0,17.21,109.99
OI000246,O00116,1,P07762,4050.0,4.92,490.13
OI000247,O00116,1,P21193,1900.0,18.36,152.61
OI000248,O00116,1,P09495,2830.0,3.77,427.11
OI000249,O00117,1,P26223,2110.0,2.6,106.17
OI000250,O00117,2,P27617,5900.0,22.47,479.08
OI000251,O00118,2,P13703,1900.0,1.31,286.3
OI000252,O00118,3,P20295,890.0,14.83,44.6
OI000253,O00119,1,P21801,3800.0,11.75,191.79
OI000254,O00119,1,P03656,2340.0,17.99,352.77
OI000255,O00119,1,P27414,5710.0,9.3,289.22
OI000256,O00119,1,P05762,1620.0,13.1,81.29
OI000257,O00120,1,P15031,90380.0,16.93,8575.69
OI000258,O00121,2,P27408,2160.0,3.24,263.46
OI000259,O00121,2,P27005,2460.0,19.78,371.04
OI000260,O00121,1,P13466,130.0,3.45,6.51
OI000261,O00121,2,P10436,520.0,12.01,41.67
OI000262,O00122,2,P14203,2470.0,0.78,124.26
OI000263,O00123,2,P05713,13440.0,23.67,1380.71
OI000264,O00123,1,P04973,13840.0,10.28,2171.45
OI000265,O00124,1,P08333,1560.0,10.71,234.78
OI000266,O00124,1,P24727,3880.0,1.23,195.56
OI000267,O00124,1,P16446,3280.0,2.51,165.14
OI000268,O00124,1,P24673,1070.0,11.73,53.64
OI000269,O00125,3,P04483,2180.0,6.5,175.96
OI000270,O00125,2,P21497,350.0,12.74,42.18
OI000271,O00125,1,P14577,2420.0,12.4,194.61
OI000272,O00125,1,P12715,6050.0,15.99,923.2
OI000273,O00125,1,P28848,1070.0,0.6,107.28
OI000274,O00126,1,P08756,12590.0,19.15,645.82
OI000275,O00127,1,P12921,8760.0,24.42,1071.76
OI000276,O00127,1,P09085,7940.0,9.48,968.41
OI000277,O00128,1,P29450,470.0,8.46,70.59
OI000278,O00128,2,P21279,5140.0,16.84,519.59
OI000279,O00129,1,P19189,2500.0,2.23,251.46
OI000280,O00129,1,P06410,170.0,9.51,13.68
OI000281,O00130,1,P28304,3890.0,6.16,313.77
OI000282,O00130,1,P10415,1120.0,10.53,89.89
OI000283,O00131,1,P30654,4230.0,18.45,512.05
OI000284,O00131,1,P03250,370.0,22.43,37.09
OI000285,O00131,2,P03519,5530.0,0.99,447.96
OI000286,O00131,2,P03807,5680.0,7.29,574.62
OI000287,O00132,1,P26533,97730.0,51.7,9361.44
OI000288,O00133,1,P12276,170.0,9.2,17.2
OI000289,O00133,1,P12848,1160.0,9.71,174.46
OI000290,O00133,2,P19148,1870.0,20.85,225.28
OI000291,O00133,1,P04201,1750.0,20.99,210.78
OI000292,O00133,1,P10430,1010.0,7.41,80.98
OI000293,O00134,1,P15019,1260.0,2.13,101.07
OI000294,O00134,1,P21636,5870.0,16.27,298.56
OI000295,O00134,1,P18118,5420.0,8.75,823.85
OI000296,O00135,2,P08655,9940.0,27.57,811.41
OI000297,O00135,1,P27326,11920.0,9.08,1467.9
OI000298,O00136,1,P18941,2260.0,0.12,340.79
OI000299,O00136,2,P00142,1900.0,17.7,286.23
OI000300,O00136,2,P01161,4360.0,19.77,351.95
OI000301,O00136,1,P22332,4870.0,8.39,738.42
OI000302,O00136,1,P18420,3020.0,6.08,303.98
OI000303,O00137,2,P16195,6070.0,8.43,311.49
OI000304,O00137,1,P17500,200.0,18.25,10.01
OI000305,O00137,1,P31856,3220.0,10.84,260.8
OI000306,O00137,2,P31806,1240.0,22.1,124.51
OI000307,O00138,1,P12432,11800.0,11.05,1820.44
OI000308,O00139,2,P10149,9320.0,8.22,1139.81
OI000309,O00140,1,P22659,3380.0,10.39,511.14
OI000310,O00140,1,P05342,4610.0,4.82,465.71
OI000311,O00140,1,P21963,660.0,3.14,66.14
OI000312,O00141,1,P31230,3860.0,18.2,195.06
OI000313,O00142,1,P21371,114620.0,38.78,11344.08
OI000314,O00143,3,P17448,2800.0,21.57,287.0
OI000315,O00144,2,P09813,1800.0,3.5,216.93
OI000316,O00144,1,P29744,5440.0,20.6,550.52
OI000317,O00144,1,P01377,2620.0,12.77,316.49
OI000318,O00144,2,P30846,4680.0,10.01,379.21
OI000319,O00145,2,P10116,5470.0,17.69,664.83
OI000320,O00145,2,P06222,2610.0,14.92,133.4
OI000321,O00145,2,P09362,300.0,10.23,24.41
OI000322,O00145,3,P31822,4510.0,16.85,456.15
OI000323,O00145,2,P03031,3490.0,18.22,352.06
OI000324,O00146,1,P12467,2640.0,10.04,318.6
OI000325,O00146,1,P11695,1240.0,20.94,186.52
OI000326,O00146,2,P12661,1630.0,0.79,198.86
OI000327,O00147,1,P32179,3470.0,21.99,177.79
OI000328,O00147,2,P07149,110.0,1.11,8.81
OI000329,O00148,1,P06404,2560.0,20.53,205.91
OI000330,O00149,1,P26436,13920.0,33.42,1431.45
OI000331,O00150,1,P03036,55920.0,31.42,7481.02
OI000332,O00151,1,P17675,650.0,2.41,98.31
OI000333,O00151,1,P05986,1940.0,13.35,233.87
OI000334,O00151,1,P10418,2390.0,1.53,120.13
OI000335,O00151,2,P21488,1930.0,7.09,193.85
OI000336,O00152,1,P32783,3120.0,3.76,314.01
OI000337,O00152,1,P15844,3530.0,10.52,426.76
OI000338,O00152,1,P15583,1900.0,16.19,95.44
OI000339,O00153,2,P15515,2610.0,14.2,210.79
OI000340,O00153,1,P01883,2760.0,14.91,222.33
OI000341,O00153,1,P27046,1870.0,15.12,286.82
OI000342,O00153,2,P21318,3940.0,8.35,595.95
OI000343,O00154,2,P16482,5660.0,16.81,458.15
OI000344,O00154,1,P24260,1610.0,6.13,242.58
OI000345,O00154,1,P14938,5550.0,2.49,280.78
OI000346,O00154,1,P07057,2910.0,3.47,439.63
OI000347,O00155,2,P17292,2360.0,3.94,284.85
OI000348,O00155,2,P29074,1060.0,10.76,85.08
OI000349,O00156,1,P10034,3030.0,1.05,305.68
OI000350,O00156,2,P04185,840.0,11.73,84.82
OI000351,O00157,1,P14821,11060.0,12.79,905.17
OI000352,O00157,1,P27082,10510.0,19.26,1080.76
OI000353,O00158,1,P10211,3890.0,20.93,313.92
OI000354,O00158,1,P08854,870.0,14.47,87.55
OI000355,O00158,1,P04273,4390.0,19.51,537.11
OI000356,O00158,2,P14270,3180.0,13.8,480.22
OI000357,O00159,1,P26151,8670.0,15.12,892.26
OI000358,O00159,1,P15188,6220.0,18.45,631.17
OI000359,O00159,1,P02764,7310.0,24.99,1113.08
OI000360,O00160,1,P27913,1230.0,21.12,61.69
OI000361,O00160,1,P32783,3120.0,7.75,471.01
OI000362,O00160,1,P28750,4600.0,6.67,464.42
OI000363,O00160,1,P29293,3510.0,3.82,283.33
OI000364,O00161,2,P13032,5580.0,11.61,282.5
OI000365,O00161,1,P27467,4870.0,3.35,748.59
OI000366,O00161,2,P22362,1520.0,13.74,123.19
OI000367,O00161,1,P06283,470.0,3.77,23.54
OI000368,O00161,1,P05727,5330.0,6.16,539.85
OI000369,O00162,1,P25336,3190.0,2.81,481.94
OI000370,O00162,1,P12186,4010.0,10.93,404.42
OI000371,O00162,3,P27497,220.0,1.2,11.18
OI000372,O00162,1,P06982,1490.0,10.09,119.72
OI000373,O00163,1,P06410,170.0,14.45,20.52
OI000374,O00163,2,P13272,4330.0,22.12,526.44
OI000375,O00164,2,P30439,2860.0,4.51,144.02
OI000376,O00164,1,P07930,1970.0,10.44,98.92
OI000377,O00164,1,P24031,3600.0,6.51,181.46
OI000378,O00165,1,P08540,15310.0,24.55,1894.19
OI000379,O00166,1,P13001,5070.0,19.15,409.83
OI000380,O00166,1,P07321,2660.0,5.12,401.24
OI000381,O00166,2,P27882,2540.0,1.14,383.01
OI000382,O00166,1,P12910,2880.0,6.88,435.83
OI000383,O00166,2,P01071,1360.0,13.93,137.0
OI000384,O00167,1,P30964,6130.0,4.97,745.21
OI000385,O00167,2,P23986,2220.0,2.03,335.04
OI000386,O00167,2,P14356,4370.0,8.67,352.73
OI000387,O00167,2,P28889,3430.0,8.72,345.63
OI000388,O00168,1,P30068,1860.0,16.24,187.16
OI000389,O00168,1,P07953,3980.0,20.65,200.75
OI000390,O00168,2,P24260,1610.0,7.92,242.58
OI000391,O00168,3,P22275,2380.0,14.36,287.13
OI000392,O00169,1,P13467,16720.0,25.65,1730.01
OI000393,O00170,2,P32299,10600.0,16.54,866.23
OI000394,O00171,1,P21631,230.0,11.15,27.64
OI000395,O00171,2,P27305,4640.0,1.24,468.72
OI000396,O00171,1,P00731,2930.0,19.46,237.65
OI000397,O00172,2,P31176,6150.0,19.5,498.69
OI000398,O00172,1,P01549,280.0,19.93,33.65
OI000399,O00173,1,P25553,6120.0,14.3,498.02
OI000400,O00173,3,P07927,1540.0,11.96,185.54
OI000401,O00173,2,P07494,3540.0,10.71,178.38
OI000402,O00174,1,P29302,10980.0,14.39,1126.06
OI000403,O00175,2,P32066,7150.0,35.16,1091.81
OI000404,O00176,1,P02900,3290.0,1.39,268.09
OI000405,O00176,3,P03944,2180.0,2.49,219.21
OI000406,O00177,1,P20786,14530.0,28.88,2244.14
OI000407,O00177,1,P29120,13610.0,20.92,1681.9
OI000408,O00178,1,P26191,190.0,18.95,15.27
OI000409,O00178,1,P08415,3480.0,7.43,526.78
OI000410,O00179,1,P25310,10650.0,14.0,1312.63
OI000411,O00180,1,P09889,12500.0,26.21,1925.62
OI000412,O00180,1,P18875,8240.0,28.31,418.95
OI000413,O00180,1,P09708,11160.0,27.74,1141.24
OI000414,O00181,1,P13230,2010.0,18.67,244.44
OI000415,O00181,2,P02837,3170.0,12.28,159.52
OI000416,O00181,1,P07249,3740.0,10.63,452.56
OI000417,O00182,1,P30601,1230.0,8.9,147.99
OI000418,O00182,2,P16026,770.0,15.9,77.2
OI000419,O00182,1,P17264,4630.0,8.51,467.6
OI000420,O00183,1,P05777,14890.0,11.14,1535.13
OI000421,O00184,1,P25227,5300.0,2.38,536.33
OI000422,O00184,1,P24125,6150.0,4.65,754.46
OI000423,O00184,2,P00985,3570.0,9.14,287.81
OI000424,O00185,1,P29925,13120.0,30.18,1347.74
OI000425,O00186,1,P07524,8420.0,37.21,428.51
OI000426,O00186,1,P09591,14680.0,26.67,1512.2
OI000427,O00186,2,P08436,13880.0,33.3,1427.09
OI000428,O00187,3,P27428,5440.0,17.97,825.37
OI000429,O00187,3,P09856,5580.0,6.06,282.44
OI000430,O00187,2,P14302,6140.0,12.31,497.77
OI000431,O00188,1,P20969,7450.0,17.99,1146.44
OI000432,O00189,1,P06196,720.0,17.09,57.92
OI000433,O00189,1,P27979,1820.0,12.46,91.45
OI000434,O00190,1,P21572,1360.0,13.09,68.33
OI000435,O00190,1,P08968,3560.0,0.49,179.39
OI000436,O00191,2,P14447,960.0,4.02,144.32
OI000437,O00191,2,P14400,280.0,20.34,22.44
OI000438,O00191,1,P02299,2820.0,3.38,290.81
OI000439,O00192,1,P23878,1340.0,8.09,161.39
OI000440,O00192,1,P19636,570.0,1.03,45.77
OI000441,O00192,1,P31419,2020.0,7.92,203.02
OI000442,O00193,2,P21172,5190.0,10.69,643.53
OI000443,O00193,2,P19978,5540.0,13.58,672.43
OI000444,O00193,1,P25463,4480.0,0.96,362.0
OI000445,O00194,2,P13396,3030.0,0.25,245.41
OI000446,O00194,1,P05792,6020.0,13.56,929.13
OI000447,O00194,2,P27126,4330.0,0.17,660.16
OI000448,O00195,1,P31957,15980.0,10.76,2053.67
OI000449,O00196,1,P20282,8090.0,29.69,987.19
OI000450,O00196,1,P13869,10620.0,29.39,549.29
OI000451,O00197,1,P16904,14220.0,36.58,739.54
OI000452,O00198,2,P07175,5440.0,4.84,660.16
OI000453,O00198,2,P15103,3720.0,19.34,451.19
OI000454,O00199,2,P20400,9110.0,15.24,743.03
OI000455,O00200,1,P05095,14520.0,30.11,747.81
OI000456,O00200,1,P03022,6220.0,17.55,504.51
OI000457,O00200,1,P22194,11570.0,32.87,1426.08
OI000458,O00201,1,P31443,10150.0,7.32,1036.71
OI000459,O00202,1,P04844,13850.0,20.63,731.21
OI000460,O00203,1,P14353,3420.0,0.72,172.2
OI000461,O00203,1,P13401,4470.0,13.82,360.9
OI000462,O00204,1,P00493,13750.0,21.2,1132.12
OI000463,O00205,1,P12175,1820.0,17.61,274.29
OI000464,O00205,1,P17317,990.0,0.5,149.05
OI000465,O00205,1,P19410,730.0,13.53,58.51
OI000466,O00205,1,P00638,940.0,6.41,113.07
OI000467,O00206,1,P30679,12890.0,23.91,1324.87
OI000468,O00206,1,P32351,13760.0,17.59,715.05
OI000469,O00207,1,P14737,78160.0,17.19,4522.42
OI000470,O00208,1,P04269,39000.0,50.45,4213.37
OI000471,O00209,1,P02930,4760.0,11.35,576.87
OI000472,O00209,3,P13720,5070.0,10.09,768.97
OI000473,O00209,1,P30670,4250.0,6.29,429.08
OI000474,O00210,1,P32230,5110.0,9.69,795.87
OI000475,O00210,1,P06111,140.0,2.58,14.02
OI000476,O00210,1,P09802,5590.0,3.75,679.1
OI000477,O00211,1,P23587,5580.0,8.15,452.23
OI000478,O00211,2,P15210,1330.0,12.83,106.74
OI000479,O00212,1,P16125,1130.0,3.93,135.97
OI000480,O00213,3,P30892,4680.0,12.0,567.15
OI000481,O00213,1,P19881,3660.0,4.0,370.22
OI000482,O00213,1,P23355,1070.0,0.32,128.73
OI000483,O00213,1,P23483,6070.0,20.87,739.5
OI000484,O00214,1,P07762,4050.0,2.75,326.75
OI000485,O00214,1,P08935,2120.0,5.4,213.0
OI000486,O00215,1,P02898,3490.0,22.29,282.5
OI000487,O00215,2,P00755,2990.0,20.89,150.42
OI000488,O00216,2,P25387,4470.0,9.77,451.17
OI000489,O00216,2,P25088,4630.0,17.25,561.63
OI000490,O00217,1,P03031,3490.0,2.2,528.1
OI000491,O00217,2,P32761,980.0,6.21,147.3
OI000492,O00217,2,P25276,5010.0,0.96,523.15
OI000493,O00217,1,P03001,830.0,10.08,83.3
OI000494,O00217,2,P21582,5310.0,8.84,429.48
OI000495,O00218,1,P08780,3740.0,2.05,453.23
OI000496,O00218,1,P29427,2840.0,7.64,228.56
