product_id,Category_name,sub_category_name,product_weight_g,brand,cost_price,selling_price,stock_availability
P00042,toys,Collectibles,725,Generic Indian,12610.0,15280.0,In Stock
P00043,bed_bath_table,Collectibles,6350,Generic Indian,14570.0,17960.0,In Stock
P00044,baby,Novelty Items,600,Generic Indian,6060.0,6800.0,Out of Stock
P00045,cool_stuff,Gifts,11750,Generic Indian,5050.0,7050.0,In Stock
P00046,toys,General Merchandise,2550,Generic Indian,8190.0,11530.0,In Stock
P00047,cool_stuff,Gifts,15350,Generic Indian,7740.0,10050.0,In Stock
P00048,furniture_decor,Sofas,1300,Durian,22320.0,26790.0,In Stock
P00049,furniture_decor,Mattresses,850,Godrej Interio,29180.0,38380.0,In Stock
P00050,health_beauty,General Merchandise,1300,Generic Indian,9890.0,13900.0,In Stock
P00051,sports_leisure,Collectibles,4800,Generic Indian,4140.0,5380.0,In Stock
P00052,cool_stuff,General Merchandise,1300,Generic Indian,880.0,1100.0,In Stock
P00053,auto,Helmets,220,BharatBenz,9570.0,11260.0,In Stock
P00054,baby,Gifts,5700,Generic Global,1790.0,2030.0,Limited Edition
P00055,luggage_accessories,Gifts,450,Generic Indian,6680.0,8270.0,In Stock
P00056,fashion_shoes,Dresses,2000,Mochi,3470.0,5470.0,In Stock
P00057,telephony,Gifts,100,Generic Indian,2630.0,3090.0,In Stock
P00058,cool_stuff,Novelty Items,1100,Generic Indian,5380.0,6780.0,In Stock
P00059,stationery,Textbooks,1400,Classmate,2100.0,2530.0,Low Stock
P00060,toys,General Merchandise,250,Generic Indian,12410.0,17170.0,In Stock
P00061,sports_leisure,Gifts,1050,Generic Indian,5480.0,7390.0,In Stock
P00062,stationery,Manga,500,Classmate,450.0,570.0,In Stock
P00063,health_beauty,General Merchandise,1467,Generic Indian,8050.0,9150.0,In Stock
P00064,fashion_bags_accessories,Dresses,100,Mochi,1920.0,3740.0,In Stock
P00065,stationery,Manga,100,Navneet,180.0,210.0,Limited Edition
P00066,stationery,Pens,300,Faber-Castell,1150.0,1530.0,In Stock
P00067,sports_leisure,General Merchandise,950,Generic Indian,5110.0,5960.0,In Stock
P00068,garden_tools,Novelty Items,250,Generic Global,2090.0,2510.0,Preorder
P00069,computers,Printers,12000,Nikon,72280.0,81020.0,In Stock
P00070,auto,Engine Oils,921,BharatBenz,380.0,490.0,In Stock
P00071,home_construction,TV Units,10000,Nilkamal,28560.0,34830.0,In Stock
P00072,watches_gifts,Gifts,250,Generic Global,13770.0,15500.0,In Stock
P00073,cool_stuff,General Merchandise,1200,Generic Indian,11160.0,12540.0,Low Stock
P00074,construction_tools_construction,Collectibles,4800,Generic Indian,6090.0,8070.0,In Stock
P00075,pet_shop,Dog Food,700,Pedigree,390.0,480.0,In Stock
P00076,health_beauty,General Merchandise,1050,Generic Indian,13570.0,19120.0,In Stock
P00077,small_appliances,Novelty Items,350,Generic Indian,14620.0,16690.0,In Stock
P00078,perfumery,Wellness Supplements,422,Lakme,560.0,870.0,In Stock
P00079,watches_gifts,General Merchandise,317,Generic Indian,10730.0,12260.0,In Stock
P00080,agro_industry_and_commerce,Collectibles,16400,Generic Indian,1010.0,1420.0,In Stock
P00081,health_beauty,Gifts,938,Generic Indian,5610.0,6520.0,In Stock
P00082,health_beauty,General Merchandise,2700,Generic Indian,10980.0,13920.0,Available on Demand
P00083,bed_bath_table,Gifts,1750,Generic Global,13890.0,17240.0,In Stock
P00084,garden_tools,General Merchandise,3850,Generic Indian,3340.0,4490.0,In Stock
P00085,perfumery,Fragrances,267,Nivea,2720.0,4990.0,In Stock
P00086,musical_instruments,Collectibles,16200,Generic Indian,10310.0,13140.0,In Stock
P00087,bed_bath_table,Collectibles,1400,Generic Indian,5990.0,7910.0,In Stock
P00088,bed_bath_table,Collectibles,6450,Generic Indian,4380.0,5380.0,In Stock
P00089,furniture_decor,Bean Bags,2300,Godrej Interio,2990.0,3490.0,In Stock
P00090,computers_accessories,Routers,300,Infinix,50220.0,55950.0,In Stock
P00091,sports_leisure,Collectibles,600,Generic Indian,8190.0,10690.0,Discontinued
P00092,health_beauty,General Merchandise,3600,Generic Indian,8960.0,12630.0,Low Stock
P00093,health_beauty,Collectibles,150,Generic Indian,3120.0,4180.0,Available on Demand
P00094,sports_leisure,Novelty Items,400,Generic Indian,3010.0,4010.0,Limited Edition
P00095,telephony,General Merchandise,100,Generic Indian,4730.0,6000.0,In Stock
P00096,furniture_decor,Wardrobes,800,IKEA,86640.0,100980.0,In Stock
P00097,auto,Engine Oils,5250,Minda,13860.0,18270.0,Limited Edition
P00098,auto,Helmets,200,Amaron,14520.0,19030.0,In Stock
P00099,watches_gifts,Gifts,335,Generic Indian,540.0,630.0,Backordered
P00100,bed_bath_table,Gifts,1300,Generic Indian,6810.0,9640.0,In Stock
P00101,furniture_decor,Lamps,150,Pepperfry,27270.0,30440.0,In Stock
P00102,computers_accessories,Smartwatches,367,realme,40120.0,44480.0,In Stock
P00103,watches_gifts,Collectibles,250,Generic Indian,8890.0,10520.0,In Stock
P00104,furniture_decor,Beds,8500,Durian,39990.0,59870.0,In Stock
P00105,baby,Collectibles,2150,Generic Indian,3470.0,4020.0,In Stock
P00106,sports_leisure,Collectibles,150,Generic Global,13560.0,17110.0,Limited Edition
P00107,bed_bath_table,Collectibles,650,Generic Indian,9220.0,11980.0,In Stock
P00108,small_appliances,General Merchandise,2700,Generic Indian,11280.0,12890.0,In Stock
P00109,housewares,General Merchandise,1200,Generic Indian,7120.0,7930.0,In Stock
P00110,furniture_living_room,Lamps,6050,Durian,87760.0,118660.0,Out of Stock
P00111,sports_leisure,General Merchandise,150,Generic Global,7460.0,9990.0,In Stock
P00112,home_construction,Beds,1050,Pepperfry,20700.0,31250.0,Available on Demand
P00113,pet_shop,Aquarium Decor,1350,Himalaya Pet Care,450.0,610.0,In Stock
P00114,housewares,Gifts,600,Generic Indian,12810.0,17360.0,Low Stock
P00115,furniture_decor,Mattresses,1000,Nilkamal,48540.0,69680.0,In Stock
P00116,bed_bath_table,Novelty Items,1550,Generic Indian,9580.0,12550.0,In Stock
P00117,bed_bath_table,Gifts,2700,Generic Indian,1490.0,1730.0,In Stock
P00118,telephony,General Merchandise,200,Generic Indian,6270.0,7170.0,In Stock
P00119,luggage_accessories,General Merchandise,800,Generic Indian,7000.0,8220.0,In Stock
P00120,perfumery,Fragrances,377,Mamaearth,1880.0,2670.0,In Stock
P00121,sports_leisure,General Merchandise,400,Generic Indian,7550.0,9250.0,In Stock
P00122,signaling_and_security,Novelty Items,450,Generic Global,14050.0,18570.0,In Stock
P00123,air_conditioning,Collectibles,2000,Generic Indian,14140.0,19300.0,In Stock
P00124,fashion_bags_accessories,Watches,300,Mochi,1860.0,2940.0,In Stock
P00125,furniture_decor,Dining Tables,250,Durian,53470.0,69120.0,In Stock
P00126,sports_leisure,General Merchandise,1950,Generic Indian,13350.0,15600.0,Out of Stock
P00127,telephony,Collectibles,500,Generic Global,12660.0,17550.0,Backordered
P00128,art,Collectibles,7900,Generic Indian,11430.0,15770.0,Backordered
P00129,bed_bath_table,Gifts,1800,Generic Indian,15380.0,18890.0,Out of Stock
P00130,garden_tools,Novelty Items,900,Generic Indian,750.0,870.0,In Stock
P00131,fashion_bags_accessories,Hats,200,Mochi,410.0,710.0,In Stock
P00132,baby,Collectibles,4500,Generic Global,4190.0,5470.0,In Stock
P00133,consoles_games,Action Cameras,250,Xiaomi,23450.0,25420.0,In Stock
P00134,housewares,General Merchandise,550,Generic Indian,4470.0,6250.0,In Stock
P00135,luggage_accessories,General Merchandise,1100,Generic Indian,3840.0,5400.0,In Stock
P00136,bed_bath_table,Gifts,3600,Generic Indian,12620.0,16740.0,In Stock
P00137,consoles_games,Smartwatches,100,Noise,50070.0,54910.0,In Stock
P00138,sports_leisure,Novelty Items,150,Generic Indian,11720.0,14230.0,In Stock
P00139,sports_leisure,Collectibles,3775,Generic Indian,2230.0,2980.0,In Stock
P00140,cool_stuff,General Merchandise,1400,Generic Indian,8740.0,10420.0,In Stock
P00141,consoles_games,DSL Cameras,900,Sony,6830.0,7340.0,In Stock
P00142,watches_gifts,Gifts,250,Generic Indian,1700.0,1900.0,In Stock
P00143,toys,General Merchandise,350,Generic Indian,15540.0,17300.0,Available on Demand
P00144,baby,General Merchandise,1800,Generic Indian,9590.0,10780.0,Available on Demand
P00145,furniture_living_room,Lamps,5050,Godrej Interio,76370.0,86810.0,In Stock
P00146,auto,Dash Cams,27100,Bosch India,2040.0,2570.0,In Stock
P00147,home_appliances,Sofas,1500,IKEA,74530.0,90340.0,Low Stock
P00148,watches_gifts,Gifts,500,Generic Global,460.0,580.0,Available on Demand
P00149,bed_bath_table,General Merchandise,350,Generic Indian,11400.0,14370.0,In Stock
P00150,auto,Helmets,500,Minda,14680.0,17730.0,In Stock
P00151,sports_leisure,Collectibles,1000,Generic Indian,14600.0,18400.0,In Stock
P00152,toys,Gifts,300,Generic Indian,6560.0,8110.0,In Stock
P00153,health_beauty,General Merchandise,250,Generic Indian,6210.0,7460.0,Low Stock
P00154,health_beauty,Novelty Items,10700,Generic Indian,4790.0,5600.0,In Stock
P00155,housewares,Gifts,1700,Generic Global,14290.0,17930.0,In Stock
P00156,garden_tools,Collectibles,7700,Generic Indian,1580.0,2030.0,Preorder
P00157,sports_leisure,Gifts,5200,Generic Indian,9720.0,13480.0,Out of Stock
P00158,telephony,Collectibles,125,Generic Indian,13980.0,18310.0,In Stock
P00159,office_furniture,Recliners,15700,Godrej Interio,83230.0,94620.0,In Stock
P00160,watches_gifts,Collectibles,350,Generic Indian,4690.0,5330.0,In Stock
P00161,sports_leisure,Novelty Items,213,Generic Indian,3850.0,5490.0,In Stock
P00162,fashion_bags_accessories,Handbags,150,Allen Solly,1920.0,3960.0,Discontinued
P00163,auto,Car Accessories,18200,Amaron,13150.0,16030.0,Limited Edition
P00164,housewares,General Merchandise,850,Generic Indian,2690.0,3510.0,In Stock
P00165,home_construction,Lamps,1050,Pepperfry,86640.0,119650.0,In Stock
P00166,fashion_bags_accessories,Belts,200,Mochi,2560.0,5540.0,In Stock
P00167,housewares,General Merchandise,300,Generic Indian,170.0,230.0,In Stock
P00168,computers_accessories,Feature Phones,200,Xiaomi,15800.0,17800.0,In Stock
P00169,sports_leisure,Collectibles,800,Generic Indian,11630.0,16410.0,In Stock
P00170,stationery,Novels,200,Classmate,720.0,1000.0,In Stock
P00171,sports_leisure,Novelty Items,698,Generic Indian,11210.0,13920.0,In Stock
P00172,telephony,General Merchandise,350,Generic Indian,9390.0,11390.0,In Stock
P00173,books_general_interest,Manga,1000,Navneet,1970.0,2900.0,In Stock
P00174,computers_accessories,Power Banks,783,Xiaomi,98470.0,104030.0,In Stock
P00175,perfumery,Spa Kits,600,Biotique,2480.0,3370.0,In Stock
P00176,toys,Collectibles,11650,Generic Indian,9500.0,13320.0,Discontinued
P00177,costruction_tools_tools,General Merchandise,400,Generic Indian,11340.0,13910.0,In Stock
P00178,toys,Collectibles,3050,Generic Indian,3970.0,5390.0,Discontinued
P00179,telephony,Gifts,100,Generic Indian,11840.0,13970.0,In Stock
P00180,garden_tools,Collectibles,16500,Generic Indian,10370.0,12930.0,In Stock
P00181,housewares,General Merchandise,750,Generic Indian,12040.0,14880.0,In Stock
P00182,fashion_underwear_beach,Sarees,250,Biba,1860.0,3390.0,Backordered
P00183,luggage_accessories,Gifts,2300,Generic Indian,970.0,1260.0,In Stock
P00184,electronics,Feature Phones,1350,Noise,1650.0,1950.0,In Stock
P00185,housewares,Gifts,530,Generic Indian,4810.0,5950.0,In Stock
P00186,auto,Bike Accessories,1300,Minda,11020.0,14150.0,In Stock
P00187,fashion_shoes,T-shirts,4000,Biba,2650.0,3660.0,In Stock
P00188,sports_leisure,Collectibles,8150,Generic Indian,9400.0,12050.0,In Stock
P00189,construction_tools_construction,General Merchandise,2200,Generic Indian,890.0,1010.0,In Stock
P00190,health_beauty,Collectibles,1150,Generic Indian,6410.0,7890.0,Preorder
P00191,watches_gifts,Collectibles,200,Generic Indian,6480.0,8130.0,In Stock
P00192,furniture_decor,Recliners,400,IKEA,13800.0,19330.0,Available on Demand
P00193,furniture_decor,Mattresses,600,Durian,20580.0,26240.0,In Stock
P00194,bed_bath_table,Gifts,1200,Generic Indian,1030.0,1200.0,Available on Demand
P00195,cool_stuff,Collectibles,10664,Generic Indian,8270.0,10410.0,Limited Edition
P00196,housewares,Collectibles,1800,Generic Indian,5380.0,6530.0,In Stock
P00197,sports_leisure,General Merchandise,500,Generic Indian,3770.0,4350.0,In Stock
P00198,stationery,Novels,258,Camel,1400.0,1660.0,Limited Edition
P00199,stationery,Board Games,1400,Camel,1700.0,2520.0,In Stock
P00200,toys,General Merchandise,400,Generic Indian,9890.0,11390.0,In Stock
P00201,air_conditioning,Gifts,1300,Generic Global,2680.0,3390.0,Limited Edition
P00202,bed_bath_table,Novelty Items,1000,Generic Indian,6150.0,8550.0,In Stock
P00203,pet_shop,Litter,1300,Himalaya Pet Care,5930.0,6810.0,In Stock
P00204,toys,Collectibles,3305,Generic Indian,12830.0,14900.0,Limited Edition
P00205,baby,Gifts,6000,Generic Indian,5520.0,7590.0,Limited Edition
P00206,computers_accessories,DSL Cameras,300,realme,35360.0,37730.0,In Stock
P00207,bed_bath_table,Novelty Items,250,Generic Indian,7500.0,9460.0,In Stock
P00208,perfumery,Ayurvedic,400,Himalaya,990.0,1840.0,Available on Demand
P00209,electronics,Printers,250,Noise,86100.0,99190.0,In Stock
P00210,toys,General Merchandise,1250,Generic Indian,13980.0,17470.0,In Stock
P00211,fashion_male_clothing,Dresses,950,Allen Solly,580.0,840.0,In Stock
P00212,pet_shop,Grooming,2000,Drools,3230.0,3900.0,In Stock
P00213,baby,General Merchandise,13575,Generic Indian,9640.0,12490.0,In Stock
P00214,health_beauty,General Merchandise,667,Generic Indian,13810.0,18170.0,Backordered
P00215,watches_gifts,General Merchandise,267,Generic Indian,1240.0,1720.0,In Stock
P00216,bed_bath_table,Gifts,1750,Generic Indian,3660.0,4340.0,In Stock
P00217,health_beauty,Collectibles,150,Generic Indian,11200.0,14520.0,In Stock
P00218,toys,Collectibles,10550,Generic Indian,4560.0,6440.0,Limited Edition
P00219,housewares,Gifts,1725,Generic Indian,12180.0,14490.0,In Stock
P00220,luggage_accessories,Novelty Items,700,Generic Indian,12640.0,14840.0,In Stock
P00221,sports_leisure,Novelty Items,400,Generic Indian,6510.0,7340.0,Limited Edition
P00222,stationery,Manga,300,Navneet,2450.0,3090.0,In Stock
P00223,home_construction,TV Units,5850,Godrej Interio,43540.0,65840.0,Backordered
P00224,watches_gifts,Novelty Items,267,Generic Indian,3750.0,5040.0,In Stock
P00225,bed_bath_table,Gifts,1500,Generic Indian,4620.0,6350.0,In Stock
P00226,cool_stuff,General Merchandise,400,Generic Global,2740.0,3280.0,In Stock
P00227,sports_leisure,General Merchandise,1300,Generic Indian,4910.0,6680.0,In Stock
P00228,housewares,Gifts,400,Generic Indian,950.0,1300.0,In Stock
P00229,art,General Merchandise,150,Generic Indian,6640.0,9240.0,In Stock
P00230,health_beauty,Novelty Items,650,Generic Indian,8940.0,11910.0,In Stock
P00231,consoles_games,Routers,706,Canon,28090.0,29640.0,Discontinued
P00232,fashion_bags_accessories,T-shirts,300,Metro,810.0,1200.0,In Stock
P00233,bed_bath_table,Novelty Items,4850,Generic Indian,8280.0,11450.0,In Stock
P00234,auto,Helmets,825,BharatBenz,11560.0,12810.0,In Stock
P00235,computers_accessories,Earbuds,600,Nikon,28130.0,32240.0,In Stock
P00236,sports_leisure,Collectibles,700,Generic Indian,4500.0,5710.0,Low Stock
P00237,furniture_decor,Mattresses,300,Nilkamal,52450.0,79810.0,In Stock
P00238,housewares,General Merchandise,1270,Generic Indian,10770.0,12100.0,In Stock
P00239,costruction_tools_tools,Novelty Items,450,Generic Indian,120.0,150.0,In Stock
P00240,home_appliances,Bean Bags,150,Durian,97650.0,126150.0,In Stock
P00241,garden_tools,General Merchandise,200,Generic Indian,9180.0,12720.0,In Stock
P00242,kitchen_dining_laundry_garden_furniture,Recliners,10893,Nilkamal,5170.0,7170.0,In Stock
P00243,housewares,General Merchandise,1800,Generic Indian,250.0,310.0,In Stock
P00244,toys,Collectibles,1220,Generic Indian,13840.0,18200.0,In Stock
P00245,health_beauty,Collectibles,360,Generic Global,6030.0,6920.0,In Stock
P00246,electronics,Power Banks,175,Lava,74440.0,83150.0,In Stock
P00247,pet_shop,Dog Food,1900,Whiskas,690.0,950.0,In Stock
P00248,sports_leisure,Collectibles,250,Generic Indian,1180.0,1530.0,In Stock
P00249,baby,Gifts,6950,Generic Indian,7470.0,9970.0,In Stock
P00250,housewares,Novelty Items,1100,Generic Indian,6830.0,9630.0,In Stock
P00251,baby,Gifts,300,Generic Indian,2030.0,2470.0,In Stock
P00252,office_furniture,Recliners,16500,Urban Ladder,90890.0,116790.0,Preorder
P00253,luggage_accessories,Gifts,300,Generic Indian,9540.0,11790.0,In Stock
P00254,electronics,Vinyl Players,1836,realme,12780.0,14990.0,Low Stock
P00255,health_beauty,Gifts,175,Generic Indian,14610.0,17350.0,In Stock
P00256,toys,Novelty Items,675,Generic Indian,4930.0,5790.0,In Stock
P00257,sports_leisure,Collectibles,200,Generic Indian,10020.0,12550.0,Low Stock
P00258,industry_commerce_and_business,General Merchandise,1200,Generic Indian,1020.0,1240.0,In Stock
P00259,computers_accessories,Routers,200,Noise,93400.0,102900.0,In Stock
P00260,office_furniture,Lamps,16100,Godrej Interio,95260.0,137410.0,In Stock
P00261,telephony,Gifts,117,Generic Indian,950.0,1110.0,In Stock
P00262,fixed_telephony,General Merchandise,455,Generic Indian,11730.0,16450.0,In Stock
P00263,bed_bath_table,Gifts,550,Generic Indian,12570.0,15630.0,Available on Demand
P00264,fashion_shoes,Scarves,750,Mochi,2150.0,4420.0,Preorder
P00265,cool_stuff,Gifts,586,Generic Indian,2800.0,3950.0,Discontinued
P00266,construction_tools_lights,Collectibles,540,Generic Global,7340.0,9160.0,In Stock
P00267,sports_leisure,Collectibles,3700,Generic Indian,7690.0,9810.0,In Stock
P00268,housewares,Collectibles,3150,Generic Indian,15010.0,17550.0,In Stock
P00269,bed_bath_table,General Merchandise,2100,Generic Indian,3430.0,4090.0,In Stock
P00270,construction_tools_safety,Novelty Items,314,Generic Indian,7390.0,8230.0,In Stock
P00271,bed_bath_table,General Merchandise,550,Generic Indian,10520.0,14310.0,In Stock
P00272,auto,Tyres,13825,BharatBenz,220.0,270.0,In Stock
P00273,bed_bath_table,Novelty Items,850,Generic Indian,13830.0,19640.0,In Stock
P00274,baby,Collectibles,250,Generic Indian,9200.0,12690.0,In Stock
P00275,toys,Collectibles,400,Generic Indian,9300.0,10650.0,Limited Edition
P00276,perfumery,Makeup,400,Nivea,1980.0,3260.0,In Stock
P00277,consoles_games,Routers,200,Noise,13530.0,14690.0,Discontinued
P00278,auto,Dash Cams,250,BharatBenz,270.0,350.0,In Stock
P00279,computers_accessories,Smartphones,1950,iQOO,5640.0,6300.0,In Stock
P00280,furniture_decor,TV Units,300,Godrej Interio,61850.0,92510.0,In Stock
P00281,watches_gifts,General Merchandise,1050,Generic Indian,11380.0,15080.0,Available on Demand
P00282,auto,Helmets,400,Bosch India,14590.0,17980.0,In Stock
P00283,musical_instruments,Gifts,1000,Generic Indian,12420.0,15300.0,Low Stock
P00284,sports_leisure,Gifts,150,Generic Indian,9930.0,13290.0,In Stock
P00285,health_beauty,Novelty Items,700,Generic Indian,2670.0,3540.0,In Stock
P00286,consoles_games,Tablets,450,Noise,95360.0,116240.0,In Stock
P00287,health_beauty,Gifts,2000,Generic Indian,6080.0,8550.0,In Stock
P00288,construction_tools_construction,Collectibles,21400,Generic Indian,8230.0,11680.0,Available on Demand
P00289,computers_accessories,Printers,188,Noise,72570.0,83140.0,In Stock
P00290,furniture_decor,Mattresses,300,IKEA,27300.0,31520.0,In Stock
P00291,fashion_bags_accessories,Jeans,13600,Mochi,2120.0,4630.0,Low Stock
P00292,furniture_decor,Mattresses,800,Nilkamal,85020.0,107580.0,In Stock
P00293,furniture_decor,Bean Bags,1400,Pepperfry,55020.0,62980.0,In Stock
P00294,watches_gifts,General Merchandise,650,Generic Indian,6600.0,8910.0,In Stock
P00295,construction_tools_construction,Gifts,600,Generic Indian,5660.0,6590.0,In Stock
P00296,furniture_decor,Sofas,3000,Durian,87550.0,104260.0,In Stock
P00297,luggage_accessories,Novelty Items,950,Generic Indian,9150.0,11280.0,Limited Edition
P00298,furniture_decor,Beds,17400,Pepperfry,55450.0,70290.0,Limited Edition
P00299,fashion_male_clothing,Belts,300,Nike,1190.0,2350.0,In Stock
P00300,computers_accessories,Earbuds,700,Samsung,48130.0,56910.0,In Stock
P00301,pet_shop,Cat Food,625,Himalaya Pet Care,2080.0,2780.0,In Stock
P00302,garden_tools,Collectibles,3250,Generic Indian,13100.0,17730.0,Backordered
P00303,fashion_shoes,Sneakers,1500,Peter England,650.0,960.0,In Stock
P00304,bed_bath_table,Collectibles,250,Generic Indian,1570.0,1860.0,Backordered
P00305,garden_tools,Gifts,425,Generic Indian,9320.0,10440.0,In Stock
P00306,air_conditioning,General Merchandise,150,Generic Indian,6430.0,7220.0,Low Stock
P00307,furniture_decor,Recliners,350,Nilkamal,26150.0,33560.0,In Stock
P00308,fashion_shoes,Sarees,300,Fabindia,2490.0,4000.0,Low Stock
P00309,telephony,General Merchandise,100,Generic Global,9580.0,11490.0,In Stock
P00310,auto,Helmets,550,Castrol,13370.0,15160.0,In Stock
P00311,auto,Bike Accessories,250,Castrol,1280.0,1480.0,In Stock
P00312,auto,Dash Cams,1000,Minda,10420.0,12020.0,In Stock
P00313,housewares,Gifts,14850,Generic Indian,2120.0,2920.0,Low Stock
P00314,baby,General Merchandise,850,Generic Indian,10880.0,12420.0,In Stock
P00315,consoles_games,Tablets,1850,Xiaomi,13270.0,14230.0,In Stock
P00316,fashion_bags_accessories,Shoes,300,Adidas,2910.0,4260.0,In Stock
P00317,telephony,General Merchandise,200,Generic Indian,12600.0,17180.0,In Stock
P00318,health_beauty,Collectibles,150,Generic Indian,4640.0,6580.0,Discontinued
P00319,sports_leisure,Collectibles,900,Generic Indian,13870.0,15520.0,Available on Demand
P00320,garden_tools,Novelty Items,1900,Generic Indian,2850.0,3370.0,In Stock
P00321,bed_bath_table,Collectibles,1450,Generic Indian,2100.0,2860.0,In Stock
P00322,books_technical,Novels,1100,Camel,1400.0,1820.0,Out of Stock
P00323,sports_leisure,Novelty Items,200,Generic Indian,4180.0,5640.0,Discontinued
P00324,sports_leisure,General Merchandise,12600,Generic Indian,2470.0,3180.0,Available on Demand
P00325,health_beauty,Novelty Items,1450,Generic Indian,280.0,370.0,Preorder
P00326,cool_stuff,Collectibles,800,Generic Global,10400.0,12910.0,Backordered
P00327,perfumery,Wellness Supplements,1300,Himalaya,1290.0,2120.0,In Stock
P00328,health_beauty,Novelty Items,150,Generic Indian,10120.0,14270.0,In Stock
P00329,electronics,DSL Cameras,200,Infinix,61080.0,65600.0,Available on Demand
P00330,garden_tools,Collectibles,11450,Generic Indian,320.0,400.0,Backordered
P00331,furniture_decor,Curtains,2200,IKEA,21730.0,26020.0,In Stock
P00332,home_appliances_2,Lamps,13200,Godrej Interio,25960.0,33810.0,In Stock
P00333,fashion_bags_accessories,T-shirts,200,Allen Solly,640.0,940.0,In Stock
P00334,consoles_games,Routers,150,iQOO,71000.0,84620.0,In Stock
P00335,musical_instruments,Collectibles,3350,Generic Indian,530.0,620.0,Available on Demand
P00336,bed_bath_table,Gifts,2200,Generic Indian,2200.0,2520.0,In Stock
P00337,office_furniture,Dining Tables,30000,IKEA,91230.0,107360.0,In Stock
P00338,baby,General Merchandise,500,Generic Indian,14890.0,19040.0,In Stock
P00339,bed_bath_table,General Merchandise,1800,Generic Indian,10510.0,12880.0,Discontinued
P00340,party_supplies,General Merchandise,1300,Generic Indian,1210.0,1560.0,In Stock
P00341,fashion_bags_accessories,Scarves,150,Allen Solly,2760.0,4890.0,In Stock
P00342,luggage_accessories,General Merchandise,700,Generic Global,12270.0,14950.0,In Stock
P00343,luggage_accessories,Gifts,2900,Generic Indian,1860.0,2250.0,Available on Demand
P00344,fashion_bags_accessories,T-shirts,200,W,550.0,920.0,In Stock
P00345,health_beauty,General Merchandise,300,Generic Indian,1090.0,1340.0,In Stock
P00346,stationery,Manga,200,Camel,440.0,490.0,Limited Edition
