customer_id,customer_zip_code,gender,age_group,customer_segment
C00626,735211,Male,26-35,New
C00627,577001,Male,18-25,Returning
C00628,734214,Male,46-55,New
C00629,444106,Male,36-45,New
C00630,680670,Male,46-55,Returning
C00631,799266,Male,56-65,New
C00632,509210,Male,46-55,Returning
C00633,522410,Male,18-25,New
C00634,781366,Male,26-35,Returning
C00635,757037,Male,26-35,New
C00636,683521,Male,56-65,New
C00637,642109,Female,18-25,Returning
C00638,641658,Male,46-55,New
C00639,306603,Male,46-55,New
C00640,470232,Male,36-45,Loyal
C00641,586120,Female,36-45,New
C00642,261208,Male,46-55,New
C00643,191101,Male,46-55,Loyal
C00644,233227,Male,18-25,Loyal
C00645,382010,Male,36-45,New
C00646,524005,Female,26-35,New
C00647,783360,Female,36-45,New
C00648,614205,Female,56-65,Returning
C00649,124411,Male,46-55,New
C00650,622401,Male,46-55,Returning
C00651,841210,Male,46-55,New
C00652,284001,Male,18-25,New
C00653,786174,Male,18-25,New
C00654,795145,Female,36-45,Returning
C00655,481001,Male,26-35,Returning
C00656,500023,Male,26-35,Loyal
C00657,283112,Male,18-25,New
C00658,631210,Male,26-35,New
C00659,412412,Female,36-45,Returning
C00660,627412,Female,18-25,Returning
C00661,497446,Male,26-35,Loyal
C00662,393125,Female,65+,Returning
C00663,517102,Male,46-55,Returning
C00664,365220,Male,46-55,Returning
C00665,680614,Male,26-35,New
C00666,831020,Female,26-35,Returning
C00667,678591,Male,36-45,New
C00668,503164,Female,18-25,New
C00669,517586,Female,46-55,Returning
C00670,562162,Male,36-45,New
C00671,442502,Male,26-35,New
C00672,284306,Male,36-45,New
C00673,612303,Male,26-35,New
C00674,571405,Male,26-35,Returning
C00675,456221,Female,46-55,Returning
C00676,171226,Female,18-25,New
C00677,244104,Male,46-55,Returning
C00678,480107,Male,18-25,Returning
C00679,181224,Male,36-45,New
C00680,505326,Male,18-25,Loyal
C00681,332042,Female,18-25,Loyal
C00682,271303,Male,26-35,Returning
C00683,400033,Male,26-35,New
C00684,301412,Male,46-55,Returning
C00685,415520,Male,36-45,New
C00686,521185,Male,46-55,Returning
C00687,415301,Female,36-45,New
C00688,769004,Male,26-35,Returning
C00689,676317,Female,26-35,New
C00690,722136,Male,18-25,New
C00691,532123,Female,56-65,New
C00692,574146,Female,26-35,New
C00693,504209,Male,46-55,Returning
C00694,135004,Male,56-65,Returning
C00695,781308,Male,56-65,New
C00696,190002,Male,18-25,Returning
C00697,521228,Male,36-45,New
C00698,781012,Male,46-55,Returning
C00699,533408,Female,36-45,Loyal
C00700,341542,Female,18-25,New
C00701,788802,Male,26-35,New
C00702,402115,Male,56-65,Returning
C00703,781339,Male,56-65,New
C00704,301604,Female,36-45,New
C00705,441217,Male,36-45,Returning
C00706,752121,Male,36-45,New
C00707,535557,Female,26-35,New
C00708,635806,Male,36-45,New
C00709,314028,Female,26-35,Loyal
C00710,262310,Female,56-65,New
C00711,752084,Male,18-25,New
C00712,380008,Male,26-35,Returning
C00713,825313,Female,26-35,Loyal
C00714,787058,Male,46-55,Loyal
C00715,249302,Male,36-45,New
C00716,182221,Male,26-35,New
C00717,332021,Female,36-45,Returning
C00718,403729,Male,46-55,Returning
C00719,743422,Female,18-25,New
C00720,390003,Male,36-45,New
C00721,244105,Male,18-25,New
C00722,306901,Male,26-35,Returning
C00723,762100,Male,65+,Returning
C00724,136129,Male,18-25,New
C00725,477445,Female,56-65,Returning
C00726,576218,Female,26-35,Returning
C00727,473446,Female,26-35,New
C00728,250619,Male,36-45,New
C00729,421101,Male,26-35,New
C00730,311023,Female,46-55,New
C00731,221409,Male,26-35,Returning
C00732,690502,Female,18-25,New
C00733,741302,Male,26-35,New
C00734,855107,Female,36-45,Returning
C00735,743354,Female,36-45,New
C00736,854103,Male,26-35,New
C00737,732202,Male,18-25,Loyal
C00738,531087,Male,18-25,Returning
C00739,221712,Female,46-55,Returning
C00740,799278,Male,36-45,Returning
C00741,410203,Female,46-55,New
C00742,852108,Male,36-45,New
C00743,140117,Male,26-35,New
C00744,384212,Male,18-25,Returning
C00745,642105,Male,26-35,New
C00746,344044,Male,18-25,New
C00747,534475,Female,36-45,Returning
C00748,632515,Female,65+,Returning
C00749,799008,Female,18-25,New
C00750,361140,Female,26-35,New
C00751,521122,Female,46-55,Returning
C00752,144801,Male,26-35,New
C00753,171206,Female,26-35,Loyal
C00754,829144,Female,36-45,Loyal
C00755,222129,Male,26-35,Returning
C00756,851120,Male,36-45,New
C00757,686542,Female,46-55,Returning
C00758,629166,Female,36-45,Returning
C00759,422601,Male,65+,New
C00760,606402,Male,56-65,New
C00761,524342,Male,46-55,Returning
C00762,689121,Female,36-45,New
C00763,735223,Female,36-45,Returning
C00764,630555,Female,36-45,Loyal
C00765,225415,Female,36-45,Returning
C00766,761214,Male,18-25,New
C00767,500017,Male,46-55,Returning
C00768,605752,Male,36-45,New
C00769,621710,Male,26-35,New
C00770,442303,Female,36-45,Returning
C00771,852221,Female,36-45,New
C00772,148028,Male,26-35,Returning
C00773,402125,Male,46-55,New
C00774,133201,Male,26-35,New
C00775,522020,Male,36-45,Returning
C00776,600058,Female,36-45,Returning
C00777,638103,Male,18-25,Returning
C00778,781010,Female,26-35,Returning
C00779,575028,Male,36-45,New
C00780,814165,Male,36-45,Returning
C00781,781103,Female,26-35,New
C00782,799002,Male,18-25,Loyal
C00783,222162,Male,65+,New
C00784,415002,Male,46-55,Loyal
C00785,585222,Female,18-25,Returning
C00786,781310,Female,36-45,Loyal
C00787,845434,Female,46-55,Returning
C00788,560035,Female,46-55,New
C00789,563133,Male,36-45,New
C00790,481884,Male,36-45,Returning
C00791,676509,Female,26-35,New
C00792,272125,Female,26-35,New
C00793,690501,Male,36-45,Returning
C00794,362120,Male,36-45,New
C00795,124146,Female,46-55,New
C00796,721501,Female,36-45,New
C00797,110035,Male,46-55,Returning
C00798,743375,Female,46-55,Loyal
C00799,482011,Male,26-35,New
C00800,380001,Male,26-35,New
C00801,737126,Male,26-35,Loyal
C00802,600115,Female,26-35,New
C00803,203002,Female,46-55,Loyal
C00804,515801,Male,36-45,Returning
C00805,173225,Male,18-25,New
C00806,144606,Male,36-45,New
C00807,501506,Male,26-35,New
C00808,636807,Male,36-45,New
C00809,532195,Female,65+,New
C00810,173030,Female,26-35,New
C00811,227405,Male,36-45,New
C00812,754027,Male,36-45,New
C00813,285124,Female,56-65,Returning
C00814,515556,Male,26-35,Loyal
C00815,680012,Male,46-55,New
C00816,801307,Female,36-45,Loyal
C00817,394235,Male,26-35,New
