review_id,order_id,review_score,review_comment_message,review_date
R00240,O63148,1,No comment,2023-08-15
R00241,O56123,5,Very satisfied with the purchase.,2024-11-10
R00242,O95220,5,No comment,2021-05-19
R00243,O94499,4,No comment,2023-05-18
R00244,O57294,5,Did not fit the requirement; returned.,2025-06-14
R00245,O28354,5,Very satisfied with the purchase.,2025-04-08
R00246,O52069,5,Excellent quality and service.,
R00247,O28738,5,No comment,
R00248,O40357,4,Order was cancelled shortly after placing.,
R00249,O26542,4,Excellent quality and service.,
R00250,O60766,5,No comment,
R00251,O34641,5,Product as described. Good value.,2023-08-21
R00252,O04358,5,No comment,
R00253,O15737,5,Excellent quality and service.,
R00254,O36659,4,No comment,
R00255,O72849,4,No comment,2022-02-06
R00256,O06801,5,Very satisfied with the purchase.,2024-08-24
R00257,O95896,5,No comment,
R00258,O22107,1,Item arrived damaged.,
R00259,O39347,1,Item arrived damaged.,2023-12-19
R00260,O67920,5,No comment,2024-04-10
R00261,O15055,2,No comment,2022-12-14
R00262,O57655,5,Great product and quick delivery.,2024-12-15
R00263,O86980,4,Returned due to defects.,
R00264,O34349,2,Initiated return; refund received.,
R00265,O01258,5,Great product and quick delivery.,
R00266,O70634,3,No comment,2024-11-21
R00267,O29743,4,No comment,
R00268,O41926,3,No comment,
R00269,O82938,2,Not as described.,2024-03-03
R00270,O46264,1,No comment,
R00271,O74574,1,No comment,
R00272,O59892,3,No comment,
R00273,O08819,1,Returned as product did not match description.,2025-07-14
R00274,O32064,5,Very satisfied with the purchase.,2023-11-18
R00275,O82066,5,Very satisfied with the purchase.,2023-12-14
R00276,O00430,4,No comment,
R00277,O91177,4,No comment,2023-08-13
R00278,O75476,5,Very satisfied with the purchase.,
R00279,O21768,5,No comment,2023-04-11
R00280,O99254,5,Excellent quality and service.,2025-04-09
R00281,O67760,1,Item arrived damaged.,
R00282,O69997,3,Packaging was fine. Works as intended.,
R00283,O45597,4,Excellent quality and service.,2023-01-16
R00284,O82659,4,Product as described. Good value.,2022-12-22
R00285,O67381,5,Product as described. Good value.,
R00286,O10271,4,No comment,
R00287,O35486,1,No comment,2024-05-25
R00288,O82039,4,Excellent quality and service.,
R00289,O07600,5,Product as described. Good value.,
R00290,O05730,1,Item arrived damaged.,
R00291,O98815,5,Great product and quick delivery.,2022-11-15
R00292,O79258,1,No comment,2022-10-09
R00293,O47070,5,No comment,2025-06-15
R00294,O48278,1,No comment,
R00295,O29719,5,No comment,
R00296,O01713,5,Great product and quick delivery.,2025-10-15
R00297,O49572,5,Very satisfied with the purchase.,
R00298,O16627,5,No comment,2025-08-13
R00299,O01223,5,Product as described. Good value.,2023-11-08
R00300,O14804,5,Very satisfied with the purchase.,2025-04-06
R00301,O78080,5,No comment,
R00302,O26304,2,No comment,2024-04-05
R00303,O82589,5,Excellent quality and service.,2022-09-19
R00304,O94420,5,No comment,
R00305,O78818,5,No comment,
R00306,O12525,5,Product as described. Good value.,2022-06-23
R00307,O81173,4,Excellent quality and service.,
R00308,O96918,5,No comment,2023-04-23
R00309,O47017,4,Excellent quality and service.,2023-03-12
R00310,O65223,2,Disappointed with the quality.,
R00311,O23979,5,Very satisfied with the purchase.,
R00312,O57077,4,Product as described. Good value.,2021-12-24
R00313,O54873,4,No comment,
R00314,O87345,4,No comment,2022-09-14
R00315,O07071,4,Excellent quality and service.,2022-04-19
R00316,O67703,4,Initiated return; refund received.,
R00317,O13558,4,No comment,2023-02-20
R00318,O67324,5,No comment,
R00319,O16553,4,Excellent quality and service.,
R00320,O49276,5,No comment,
R00321,O63844,5,No comment,
R00322,O59165,5,Product as described. Good value.,2023-07-06
R00323,O69327,4,No comment,2024-01-07
R00324,O97784,5,No comment,2025-01-10
R00325,O29107,5,Product as described. Good value.,2023-10-12
R00326,O12185,5,No comment,
R00327,O59005,5,Product as described. Good value.,
R00328,O72366,5,No comment,
R00329,O47880,5,No comment,2022-06-07
R00330,O15338,4,Excellent quality and service.,
R00331,O28115,5,Excellent quality and service.,
R00332,O84573,3,Product is okay for the price.,2025-10-14
R00333,O93186,5,No comment,
R00334,O45491,5,Excellent quality and service.,2025-03-05
R00335,O90900,2,No comment,
R00336,O44490,5,Very satisfied with the purchase.,2025-11-22
R00337,O42141,1,Delivery was delayed and support was unhelpful.,2023-12-19
R00338,O42719,5,Great product and quick delivery.,
R00339,O03531,1,Delivery was delayed and support was unhelpful.,2024-12-13
R00340,O72242,5,Great product and quick delivery.,2025-07-06
R00341,O14816,2,No comment,
R00342,O32767,5,No comment,
R00343,O63396,5,Very satisfied with the purchase.,2023-03-06
R00344,O09248,5,Great product and quick delivery.,2021-12-18
R00345,O58535,5,Did not fit the requirement; returned.,
R00346,O62969,5,Very satisfied with the purchase.,
R00347,O59815,5,Great product and quick delivery.,
R00348,O08668,4,No comment,2024-11-11
R00349,O01544,5,Great product and quick delivery.,
R00350,O39924,1,No comment,
R00351,O15808,5,Great product and quick delivery.,
R00352,O72383,3,Packaging was fine. Works as intended.,
R00353,O44166,5,No comment,2025-07-04
R00354,O75088,5,No comment,
R00355,O23695,5,No comment,
R00356,O88613,5,Product as described. Good value.,
R00357,O37197,5,Excellent quality and service.,2024-09-18
R00358,O17884,5,Great product and quick delivery.,2025-05-05
R00359,O30754,5,Very satisfied with the purchase.,2023-02-07
R00360,O11663,5,No comment,
R00361,O11690,5,No comment,2026-06-02
R00362,O61233,2,No comment,
R00363,O43188,2,Delivery was delayed and support was unhelpful.,
R00364,O94685,1,No comment,
R00365,O45770,5,Very satisfied with the purchase.,2026-08-07
R00366,O76814,4,No comment,2025-09-18
R00367,O45805,5,Very satisfied with the purchase.,2022-08-18
R00368,O27245,5,Product as described. Good value.,2023-09-08
R00369,O41509,4,No comment,
R00370,O00401,5,Very satisfied with the purchase.,
R00371,O83734,5,No comment,2022-02-17
R00372,O10750,4,Order cancelled by the seller.,
R00373,O99405,4,No comment,2023-05-16
R00374,O38467,4,No comment,
R00375,O32320,3,No comment,
R00376,O15301,3,No comment,2024-08-13
R00377,O75441,5,No comment,
R00378,O88117,5,No comment,
R00379,O21388,4,No comment,
R00380,O04899,5,Excellent quality and service.,
R00381,O40171,5,Product as described. Good value.,2024-11-19
R00382,O28562,5,Excellent quality and service.,2025-11-19
R00383,O00837,5,No comment,
R00384,O50607,5,No comment,2025-03-08
R00385,O67728,4,No comment,2024-11-08
R00386,O94543,5,Excellent quality and service.,2022-01-19
R00387,O31291,5,No comment,
R00388,O98756,5,Product as described. Good value.,2024-10-11
R00389,O27957,2,Delivery was delayed and support was unhelpful.,
R00390,O76886,5,No comment,
R00391,O47789,5,No comment,
R00392,O39393,2,Disappointed with the quality.,
R00393,O79968,5,Very satisfied with the purchase.,2024-04-13
R00394,O95105,5,No comment,2023-05-18
R00395,O61059,1,Item arrived damaged.,
R00396,O91871,5,No comment,2023-08-12
R00397,O23832,5,Great product and quick delivery.,2024-07-12
R00398,O51583,4,No comment,
R00399,O53765,5,Excellent quality and service.,2022-01-14
R00400,O42854,5,Great product and quick delivery.,
R00401,O33804,4,No comment,2024-02-02
R00402,O81227,5,Great product and quick delivery.,
R00403,O82205,5,Product as described. Good value.,2025-08-08
R00404,O72184,1,No comment,
R00405,O08401,5,Very satisfied with the purchase.,2025-10-16
R00406,O26522,5,Returned due to defects.,
R00407,O37449,4,Excellent quality and service.,
R00408,O01350,5,No comment,
R00409,O66287,1,Delivery was delayed and support was unhelpful.,
R00410,O50699,5,No comment,
R00411,O78892,5,No comment,
R00412,O75662,5,Very satisfied with the purchase.,
R00413,O36228,1,Delivery was delayed and support was unhelpful.,2024-06-07
R00414,O46396,5,Excellent quality and service.,
R00415,O11281,1,Item arrived damaged.,2021-11-15
R00416,O28627,4,Returned as product did not match description.,2023-04-20
R00417,O56022,2,Disappointed with the quality.,2022-05-11
R00418,O79107,5,No comment,2023-07-12
R00419,O43247,3,No comment,2025-04-08
R00420,O16757,5,Pedi a fechadura com chave tetra e recebichave simples !,2025-02-02
R00421,O69406,5,Great product and quick delivery.,
R00422,O30540,1,Returned as product did not match description.,
R00423,O44438,1,Disappointed with the quality.,2023-04-10
R00424,O86803,1,No comment,
R00425,O95310,5,Great product and quick delivery.,
R00426,O35423,5,No comment,
R00427,O33414,4,No comment,2022-02-26
R00428,O08669,5,Product as described. Good value.,2025-10-12
R00429,O84837,1,Disappointed with the quality.,2024-11-19
R00430,O66373,5,Great product and quick delivery.,2024-03-11
R00431,O97198,5,Very satisfied with the purchase.,2022-12-07
R00432,O25435,5,No comment,
R00433,O51784,5,No comment,2024-10-17
R00434,O37286,5,No comment,
R00435,O29857,1,Item arrived damaged.,2024-03-25
R00436,O61832,3,No comment,2022-02-13
R00437,O14182,2,Not as described.,2024-08-11
R00438,O53479,5,Great product and quick delivery.,2024-11-15
R00439,O61460,5,No comment,2026-06-09
R00440,O33236,5,No comment,
R00441,O62131,5,No comment,
R00442,O04903,3,Product is okay for the price.,
R00443,O64299,5,Great product and quick delivery.,2021-07-15
R00444,O41649,3,Product is okay for the price.,
R00445,O85124,4,Very satisfied with the purchase.,
R00446,O45475,5,No comment,
R00447,O73054,5,Very satisfied with the purchase.,
R00448,O09702,5,Initiated return; refund received.,2025-01-22
R00449,O95457,1,Item arrived damaged.,2025-08-06
R00450,O14285,5,No comment,2022-11-19
R00451,O77824,1,Not as described.,
R00452,O70198,5,Very satisfied with the purchase.,
R00453,O74139,5,Very satisfied with the purchase.,
R00454,O54542,3,Packaging was fine. Works as intended.,2022-08-10
R00455,O39312,1,Disappointed with the quality.,
R00456,O13123,3,No comment,
R00457,O00764,5,Order was cancelled shortly after placing.,
R00458,O98988,5,Great product and quick delivery.,2025-01-01
R00459,O83787,5,Very satisfied with the purchase.,2025-01-07
R00460,O40821,5,Excellent quality and service.,
R00461,O64699,5,Product as described. Good value.,2022-08-17
R00462,O80563,2,Order was cancelled shortly after placing.,
R00463,O57320,5,No comment,2025-02-21
R00464,O87513,4,No comment,2021-12-06
R00465,O77420,5,Very satisfied with the purchase.,2023-04-11
R00466,O60262,5,Very satisfied with the purchase.,
R00467,O78727,5,No comment,2023-05-21
R00468,O02315,5,No comment,
R00469,O49290,3,No comment,2023-08-03
R00470,O59428,5,No comment,2025-01-07
R00471,O41068,4,Very satisfied with the purchase.,2025-06-13
R00472,O53511,5,Payment issue led to cancellation.,
R00473,O34334,2,Not as described.,
R00474,O05696,2,No comment,
R00475,O92252,4,No comment,
R00476,O64233,4,Excellent quality and service.,
R00477,O63465,5,No comment,
R00478,O84081,5,Very satisfied with the purchase.,2021-09-24
R00479,O97558,5,No comment,
R00480,O97608,4,No comment,
R00481,O94414,4,Product as described. Good value.,
R00482,O62054,3,No comment,
R00483,O69955,5,Excellent quality and service.,
R00484,O01589,4,Product as described. Good value.,
R00485,O04613,1,No comment,2025-08-07
R00486,O03779,4,No comment,2024-03-07
R00487,O47805,5,Product as described. Good value.,
R00488,O40692,3,No comment,
R00489,O68013,5,Excellent quality and service.,
R00490,O51543,5,No comment,2024-09-16
R00491,O19353,5,No comment,
R00492,O67861,5,Product as described. Good value.,2024-02-04
R00493,O75334,5,Cancelled due to change of mind.,2021-06-12
R00494,O48464,4,No comment,
R00495,O46408,5,Excellent quality and service.,
R00496,O76260,5,No comment,2022-08-05
R00497,O59419,5,Great product and quick delivery.,
R00498,O30330,5,Initiated return; refund received.,2025-07-15
R00499,O09400,4,No comment,
R00500,O01252,5,Product as described. Good value.,2025-07-07
R00501,O97974,5,No comment,
R00502,O63710,5,No comment,
R00503,O79186,5,Great product and quick delivery.,
R00504,O55837,5,No comment,2024-09-06
R00505,O55135,5,No comment,2025-07-15
R00506,O88209,5,No comment,
R00507,O34995,4,Very satisfied with the purchase.,2023-03-14
R00508,O78514,5,Payment issue led to cancellation.,2024-10-13
R00509,O78610,5,Excellent quality and service.,2024-03-09
R00510,O46310,2,Disappointed with the quality.,
R00511,O38824,1,Disappointed with the quality.,
R00512,O85641,5,Very satisfied with the purchase.,
R00513,O29770,1,No comment,2021-11-17
R00514,O38226,4,Great product and quick delivery.,2024-12-14
R00515,O14483,4,No comment,
R00516,O79700,3,No comment,2025-08-14
R00517,O28516,4,Payment issue led to cancellation.,2024-03-09
R00518,O17820,5,Very satisfied with the purchase.,
R00519,O35972,1,Delivery was delayed and support was unhelpful.,
R00520,O59387,5,No comment,2024-04-02
R00521,O43432,5,No comment,
R00522,O66191,4,Order cancelled by the seller.,
R00523,O37867,3,No comment,
R00524,O40364,5,Product as described. Good value.,2024-07-20
R00525,O45316,2,Disappointed with the quality.,2023-03-23
R00526,O79584,4,Great product and quick delivery.,2024-07-14
R00527,O61080,5,Initiated return; refund received.,2023-07-15
R00528,O53082,5,No comment,
R00529,O21218,5,No comment,2025-09-14
R00530,O02380,4,Great product and quick delivery.,
R00531,O23130,5,Product as described. Good value.,2024-07-04
R00532,O30515,5,No comment,2024-02-11
R00533,O49653,4,No comment,
R00534,O46496,5,Initiated return; refund received.,2025-11-15
R00535,O71395,1,No comment,
R00536,O36137,3,Product is okay for the price.,
R00537,O64095,5,Excellent quality and service.,
R00538,O06117,3,No comment,2022-03-15
R00539,O10152,3,Product is okay for the price.,2023-12-21
R00540,O55945,5,Product as described. Good value.,2025-09-12
R00541,O93963,5,Excellent quality and service.,2023-09-20
R00542,O80481,5,Very satisfied with the purchase.,
R00543,O44535,5,No comment,
R00544,O66840,5,Excellent quality and service.,
R00545,O32806,2,Disappointed with the quality.,
R00546,O03342,5,Payment issue led to cancellation.,
R00547,O50797,4,Very satisfied with the purchase.,2023-12-15
R00548,O30577,1,No comment,
R00549,O52131,5,Great product and quick delivery.,2022-10-11
R00550,O68396,5,Order cancelled by the seller.,2024-01-15
R00551,O24378,5,Excellent quality and service.,
R00552,O45289,3,No comment,
R00553,O50356,3,Product is okay for the price.,
R00554,O36348,5,No comment,2024-01-22
R00555,O58046,1,Item arrived damaged.,
R00556,O17600,4,No comment,
R00557,O10405,4,Great product and quick delivery.,
R00558,O65146,5,Excellent quality and service.,
R00559,O48506,5,No comment,2023-02-03
R00560,O32412,5,Great product and quick delivery.,
R00561,O00724,1,Order was cancelled shortly after placing.,
R00562,O59966,4,Great product and quick delivery.,
R00563,O06584,5,No comment,2021-01-24
R00564,O51967,5,Great product and quick delivery.,2025-02-11
R00565,O90032,5,Great product and quick delivery.,2022-11-10
R00566,O83750,5,No comment,
R00567,O96218,5,No comment,
R00568,O70164,1,Not as described.,2021-01-16
R00569,O26841,4,Very satisfied with the purchase.,
R00570,O92920,5,Confortavel,
R00571,O37932,4,No comment,2024-11-15
R00572,O00472,5,Did not fit the requirement; returned.,
R00573,O72519,5,Product as described. Good value.,
R00574,O66714,5,No comment,
R00575,O96263,5,Great product and quick delivery.,
R00576,O35034,5,No comment,
R00577,O79211,5,Excellent quality and service.,2022-06-11
R00578,O21771,5,No comment,
R00579,O60685,5,No comment,
R00580,O82929,4,Initiated return; refund received.,
R00581,O91231,5,Product as described. Good value.,2021-11-16
R00582,O81647,5,Great product and quick delivery.,
R00583,O98729,1,Item arrived damaged.,2024-06-04
R00584,O40525,4,Did not fit the requirement; returned.,2024-02-20
R00585,O48077,5,Returned due to defects.,
R00586,O54013,5,No comment,
R00587,O24338,3,No comment,
R00588,O26385,4,Initiated return; refund received.,
R00589,O59662,3,Returned as product did not match description.,2022-12-14
R00590,O86779,1,No comment,2023-05-07
R00591,O54621,5,Very satisfied with the purchase.,
R00592,O72255,5,Excellent quality and service.,
R00593,O81033,4,Excellent quality and service.,
R00594,O38723,5,No comment,
R00595,O20250,1,Not as described.,
R00596,O01125,4,No comment,
R00597,O77618,5,No comment,2023-04-18
R00598,O67937,5,No comment,2021-04-08
R00599,O71555,5,Great product and quick delivery.,
R00600,O39730,5,No comment,
R00601,O05635,5,Order was cancelled shortly after placing.,
R00602,O16536,5,No comment,2025-10-13
R00603,O01337,5,Product as described. Good value.,2023-03-12
R00604,O47855,5,Great product and quick delivery.,
R00605,O65985,5,Very satisfied with the purchase.,2022-05-17
R00606,O86410,5,Product as described. Good value.,2023-01-19
R00607,O03642,5,Product as described. Good value.,2025-07-04
R00608,O03392,1,Returned as product did not match description.,
R00609,O34542,5,Excellent quality and service.,2021-07-18
R00610,O95458,5,Excellent quality and service.,2024-06-15
R00611,O07161,5,Great product and quick delivery.,2024-12-09
R00612,O17269,5,Great product and quick delivery.,
R00613,O54901,5,Excellent quality and service.,2025-05-13
R00614,O07629,5,Payment issue led to cancellation.,
R00615,O98053,4,No comment,2023-07-03
R00616,O81393,5,Excellent quality and service.,2023-06-07
R00617,O10971,5,Cancelled due to change of mind.,
R00618,O55027,4,No comment,2025-01-20
R00619,O95648,2,No comment,2023-04-11
R00620,O80539,1,Not as described.,2021-11-16
R00621,O39256,5,No comment,2025-01-18
R00622,O16214,5,No comment,2024-01-16
R00623,O05444,5,Excellent quality and service.,
R00624,O46787,5,No comment,
R00625,O84409,5,No comment,2022-01-12
R00626,O07907,4,Product as described. Good value.,
R00627,O24799,5,Very satisfied with the purchase.,2023-10-08
R00628,O74602,1,Item arrived damaged.,2021-04-17
R00629,O45190,5,Great product and quick delivery.,2025-01-13
R00630,O46606,5,No comment,2024-10-13
R00631,O36838,5,Great product and quick delivery.,2023-08-11
